Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,Central African Republic,CAF,2018,YR2018,5094780,94.1,4.8,3.507,..
Food Prices for Nutrition 1.1,FPN 1.1,Central African Republic,CAF,2019,YR2019,5209324,93.9,4.8,3.57,..
Food Prices for Nutrition 1.1,FPN 1.1,Central African Republic,CAF,2020,YR2020,5343020,93.9,4.8,3.615,..
Food Prices for Nutrition 1.1,FPN 1.1,Chad,TCD,2017,YR2017,15085884,82.7,12.5,2.831,1.458
Food Prices for Nutrition 1.1,FPN 1.1,Chad,TCD,2018,YR2018,15604210,80.8,12.6,2.728,..
Food Prices for Nutrition 1.1,FPN 1.1,Chad,TCD,2019,YR2019,16126866,79.1,12.3,2.659,..
Food Prices for Nutrition 1.1,FPN 1.1,Chad,TCD,2020,YR2020,16644701,80.8,12.6,2.821,..
Food Prices for Nutrition 1.1,FPN 1.1,Chile,CHL,2017,YR2017,18368577,4.6,0.8,3.053,0.491
Food Prices for Nutrition 1.1,FPN 1.1,Chile,CHL,2018,YR2018,18701450,4.5,0.8,3.18,..
Food Prices for Nutrition 1.1,FPN 1.1,Chile,CHL,2019,YR2019,19039485,4.4,0.8,3.213,..
Food Prices for Nutrition 1.1,FPN 1.1,Chile,CHL,2020,YR2020,19300315,5,0.9,3.402,..
Food Prices for Nutrition 1.1,FPN 1.1,China,CHN,2017,YR2017,1396215000,16.6,232.2,2.571,0.935
Food Prices for Nutrition 1.1,FPN 1.1,China,CHN,2018,YR2018,1402760000,13.6,190.8,2.63,..
Food Prices for Nutrition 1.1,FPN 1.1,China,CHN,2019,YR2019,1407745000,12.2,171.3,2.792,..
Food Prices for Nutrition 1.1,FPN 1.1,China,CHN,2020,YR2020,1411100000,14.3,200.8,2.983,..
Food Prices for Nutrition 1.1,FPN 1.1,Colombia,COL,2017,YR2017,48351671,24.8,12,2.863,0.645
Food Prices for Nutrition 1.1,FPN 1.1,Colombia,COL,2018,YR2018,49276961,24.3,12,2.893,..
Food Prices for Nutrition 1.1,FPN 1.1,Colombia,COL,2019,YR2019,50187406,25.4,12.5,2.93,..
Food Prices for Nutrition 1.1,FPN 1.1,Colombia,COL,2020,YR2020,50930662,26.5,13.1,3.065,..
Food Prices for Nutrition 1.1,FPN 1.1,Comoros,COM,2017,YR2017,761664,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Comoros,COM,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Comoros,COM,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Comoros,COM,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Dem. Rep.",COD,2017,YR2017,84283273,94.1,79.3,2.921,1.878
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Dem. Rep.",COD,2018,YR2018,87087355,88.9,77.5,2.344,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Dem. Rep.",COD,2019,YR2019,89906890,85.7,74.6,2.127,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Dem. Rep.",COD,2020,YR2020,92853164,84.8,73.8,2.077,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Rep.",COG,2017,YR2017,5312340,88.9,4.7,3.343,1.52
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Rep.",COG,2018,YR2018,5441062,90.2,4.9,3.385,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Rep.",COG,2019,YR2019,5570733,90.3,4.9,3.365,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Rep.",COG,2020,YR2020,5702174,90.3,4.9,3.422,..
Food Prices for Nutrition 1.1,FPN 1.1,Costa Rica,CRI,2017,YR2017,4993842,16,0.8,3.961,0.642
Food Prices for Nutrition 1.1,FPN 1.1,Costa Rica,CRI,2018,YR2018,5040734,16.3,0.8,4,..
Food Prices for Nutrition 1.1,FPN 1.1,Costa Rica,CRI,2019,YR2019,5084532,16.2,0.8,4.041,..
Food Prices for Nutrition 1.1,FPN 1.1,Costa Rica,CRI,2020,YR2020,5123105,16.3,0.8,4.11,..
Food Prices for Nutrition 1.1,FPN 1.1,Côte d'Ivoire,CIV,2017,YR2017,24848016,77.7,19.3,3.273,1.038
Food Prices for Nutrition 1.1,FPN 1.1,Côte d'Ivoire,CIV,2018,YR2018,25493988,73.4,18.7,3.357,..
Food Prices for Nutrition 1.1,FPN 1.1,Côte d'Ivoire,CIV,2019,YR2019,26147551,72,18.3,3.506,..
Food Prices for Nutrition 1.1,FPN 1.1,Côte d'Ivoire,CIV,2020,YR2020,26811790,72.6,18.5,3.61,..
Food Prices for Nutrition 1.1,FPN 1.1,Croatia,HRV,2017,YR2017,4124531,6.2,0.3,4.168,0.481
Food Prices for Nutrition 1.1,FPN 1.1,Croatia,HRV,2018,YR2018,4087843,4,0.2,4.202,..
Food Prices for Nutrition 1.1,FPN 1.1,Croatia,HRV,2019,YR2019,4065253,3.1,0.1,4.111,..
Food Prices for Nutrition 1.1,FPN 1.1,Croatia,HRV,2020,YR2020,4047680,3.4,0.1,4.277,..
Food Prices for Nutrition 1.1,FPN 1.1,Curacao,CUW,2017,YR2017,160175,..,..,2.866,0.549
Food Prices for Nutrition 1.1,FPN 1.1,Curacao,CUW,2018,YR2018,159336,..,..,2.988,..
Food Prices for Nutrition 1.1,FPN 1.1,Curacao,CUW,2019,YR2019,157441,..,..,3.144,..
Food Prices for Nutrition 1.1,FPN 1.1,Curacao,CUW,2020,YR2020,154947,..,..,3.328,..
Food Prices for Nutrition 1.1,FPN 1.1,Cyprus,CYP,2017,YR2017,1208523,0.1,0,2.846,0.468
Food Prices for Nutrition 1.1,FPN 1.1,Cyprus,CYP,2018,YR2018,1218831,0.1,0,2.868,..
Food Prices for Nutrition 1.1,FPN 1.1,Cyprus,CYP,2019,YR2019,1228836,0.3,0,2.836,..
Food Prices for Nutrition 1.1,FPN 1.1,Cyprus,CYP,2020,YR2020,1237537,0.3,0,2.969,..
Food Prices for Nutrition 1.1,FPN 1.1,Czech Republic,CZE,2017,YR2017,10594438,0.2,0,2.899,0.384
Food Prices for Nutrition 1.1,FPN 1.1,Czech Republic,CZE,2018,YR2018,10629928,0.1,0,2.921,..
Food Prices for Nutrition 1.1,FPN 1.1,Czech Republic,CZE,2019,YR2019,10671870,0.1,0,2.919,..
Food Prices for Nutrition 1.1,FPN 1.1,Czech Republic,CZE,2020,YR2020,10697858,0.1,0,2.966,..
Food Prices for Nutrition 1.1,FPN 1.1,Denmark,DNK,2017,YR2017,5764980,0.2,0,2.376,0.348
Food Prices for Nutrition 1.1,FPN 1.1,Denmark,DNK,2018,YR2018,5793636,0.2,0,2.44,..
Food Prices for Nutrition 1.1,FPN 1.1,Denmark,DNK,2019,YR2019,5814422,0.4,0,2.432,..
Food Prices for Nutrition 1.1,FPN 1.1,Denmark,DNK,2020,YR2020,5831404,0.4,0,2.544,..
Food Prices for Nutrition 1.1,FPN 1.1,Djibouti,DJI,2017,YR2017,1040233,65.8,0.7,2.797,1.167
Food Prices for Nutrition 1.1,FPN 1.1,Djibouti,DJI,2018,YR2018,1057198,64.2,0.7,2.866,..
Food Prices for Nutrition 1.1,FPN 1.1,Djibouti,DJI,2019,YR2019,1073994,63.7,0.7,2.985,..
Food Prices for Nutrition 1.1,FPN 1.1,Djibouti,DJI,2020,YR2020,1090156,65.2,0.7,3.112,..
Food Prices for Nutrition 1.1,FPN 1.1,Dominica,DMA,2017,YR2017,70403,..,..,4,0.87
Food Prices for Nutrition 1.1,FPN 1.1,Dominica,DMA,2018,YR2018,70823,..,..,4.146,..
Food Prices for Nutrition 1.1,FPN 1.1,Dominica,DMA,2019,YR2019,71428,..,..,4.236,..
Food Prices for Nutrition 1.1,FPN 1.1,Dominica,DMA,2020,YR2020,71995,..,..,4.345,..
Food Prices for Nutrition 1.1,FPN 1.1,Dominican Republic,DOM,2017,YR2017,10647244,24.9,2.6,3.521,0.455
Food Prices for Nutrition 1.1,FPN 1.1,Dominican Republic,DOM,2018,YR2018,10765531,21.7,2.3,3.608,..
Food Prices for Nutrition 1.1,FPN 1.1,Dominican Republic,DOM,2019,YR2019,10881882,20.6,2.2,3.744,..
Food Prices for Nutrition 1.1,FPN 1.1,Dominican Republic,DOM,2020,YR2020,10999664,21.6,2.3,3.884,..
Food Prices for Nutrition 1.1,FPN 1.1,East Asia & Pacific,EAS,2017,YR2017,2288221317,26.1,587.9,3.7,..
Food Prices for Nutrition 1.1,FPN 1.1,East Asia & Pacific,EAS,2018,YR2018,2278505178,24.1,540.3,3.778,..
Food Prices for Nutrition 1.1,FPN 1.1,East Asia & Pacific,EAS,2019,YR2019,2290574843,22.7,508.8,3.871,..
Food Prices for Nutrition 1.1,FPN 1.1,East Asia & Pacific,EAS,2020,YR2020,2300278763,24.5,549.8,4.054,..
Food Prices for Nutrition 1.1,FPN 1.1,Ecuador,ECU,2017,YR2017,16696944,17.6,2.9,2.788,0.65
Food Prices for Nutrition 1.1,FPN 1.1,Ecuador,ECU,2018,YR2018,17015672,18.3,3.1,2.816,..
Food Prices for Nutrition 1.1,FPN 1.1,Ecuador,ECU,2019,YR2019,17343740,19.8,3.4,2.861,..
Food Prices for Nutrition 1.1,FPN 1.1,Ecuador,ECU,2020,YR2020,17588595,20.2,3.4,2.928,..
Food Prices for Nutrition 1.1,FPN 1.1,"Egypt, Arab Rep.",EGY,2017,YR2017,101789386,67.4,68.6,3.457,0.286
